[2023-11-10 10:47:16] [ ERROR] [ExceptionController:21] InvalidDataAccessApiUsageException: No enum constant com.viajecito.api.model.AlojamientoTipo.CABAÑA; nested exception is java.lang.IllegalArgumentException: No enum constant com.viajecito.api.model.AlojamientoTipo.CABAÑA
[2023-11-10 10:48:23] [ ERROR] [ExceptionController:21] InvalidDataAccessApiUsageException: No enum constant com.viajecito.api.model.AlojamientoTipo.CABAÑA; nested exception is java.lang.IllegalArgumentException: No enum constant com.viajecito.api.model.AlojamientoTipo.CABAÑA
[2023-11-10 10:48:23] [ ERROR] [ExceptionController:21] InvalidDataAccessApiUsageException: No enum constant com.viajecito.api.model.AlojamientoTipo.CABAÑA; nested exception is java.lang.IllegalArgumentException: No enum constant com.viajecito.api.model.AlojamientoTipo.CABAÑA
[2023-11-10 10:49:26] [ ERROR] [ExceptionController:21] InvalidDataAccessApiUsageException: No enum constant com.viajecito.api.model.AlojamientoTipo.CABAÑA; nested exception is java.lang.IllegalArgumentException: No enum constant com.viajecito.api.model.AlojamientoTipo.CABAÑA
[2023-11-10 10:56:14] [ ERROR] [ExceptionController:21] MaxUploadSizeExceededException: Maximum upload size exceeded; nested exception is java.lang.IllegalStateException: org.apache.tomcat.util.http.fileupload.impl.SizeLimitExceededException: the request was rejected because its size (27976241) exceeds the configured maximum (10485760)
[2023-11-10 10:56:27] [ ERROR] [ExceptionController:21] MaxUploadSizeExceededException: Maximum upload size exceeded; nested exception is java.lang.IllegalStateException: org.apache.tomcat.util.http.fileupload.impl.SizeLimitExceededException: the request was rejected because its size (27976241) exceeds the configured maximum (10485760)
[2023-11-10 10:57:11] [ ERROR] [ExceptionController:21] MaxUploadSizeExceededException: Maximum upload size exceeded; nested exception is java.lang.IllegalStateException: org.apache.tomcat.util.http.fileupload.impl.SizeLimitExceededException: the request was rejected because its size (32162764) exceeds the configured maximum (10485760)
[2023-11-10 10:57:12] [ ERROR] [ExceptionController:21] MaxUploadSizeExceededException: Maximum upload size exceeded; nested exception is java.lang.IllegalStateException: org.apache.tomcat.util.http.fileupload.impl.SizeLimitExceededException: the request was rejected because its size (32162764) exceeds the configured maximum (10485760)
[2023-11-10 10:57:13] [ ERROR] [ExceptionController:21] MaxUploadSizeExceededException: Maximum upload size exceeded; nested exception is java.lang.IllegalStateException: org.apache.tomcat.util.http.fileupload.impl.SizeLimitExceededException: the request was rejected because its size (32162764) exceeds the configured maximum (10485760)
[2023-11-10 10:57:14] [ ERROR] [ExceptionController:21] MaxUploadSizeExceededException: Maximum upload size exceeded; nested exception is java.lang.IllegalStateException: org.apache.tomcat.util.http.fileupload.impl.SizeLimitExceededException: the request was rejected because its size (32162764) exceeds the configured maximum (10485760)
[2023-11-10 10:57:15] [ ERROR] [ExceptionController:21] MaxUploadSizeExceededException: Maximum upload size exceeded; nested exception is java.lang.IllegalStateException: org.apache.tomcat.util.http.fileupload.impl.SizeLimitExceededException: the request was rejected because its size (32162764) exceeds the configured maximum (10485760)
[2023-11-10 10:57:16] [ ERROR] [ExceptionController:21] MaxUploadSizeExceededException: Maximum upload size exceeded; nested exception is java.lang.IllegalStateException: org.apache.tomcat.util.http.fileupload.impl.SizeLimitExceededException: the request was rejected because its size (32162764) exceeds the configured maximum (10485760)
[2023-11-10 10:57:17] [ ERROR] [ExceptionController:21] MaxUploadSizeExceededException: Maximum upload size exceeded; nested exception is java.lang.IllegalStateException: org.apache.tomcat.util.http.fileupload.impl.SizeLimitExceededException: the request was rejected because its size (32162764) exceeds the configured maximum (10485760)
[2023-11-10 10:57:18] [ ERROR] [ExceptionController:21] MaxUploadSizeExceededException: Maximum upload size exceeded; nested exception is java.lang.IllegalStateException: org.apache.tomcat.util.http.fileupload.impl.SizeLimitExceededException: the request was rejected because its size (32162764) exceeds the configured maximum (10485760)
[2023-11-10 11:22:07] [ ERROR] [ExceptionController:21] InvalidDataAccessResourceUsageException: could not extract ResultSet; SQL [n/a]; nested exception is org.hibernate.exception.SQLGrammarException: could not extract ResultSet
